name,size,pages,object_total,text_box_total,character_total,modal_width,modal_height,type
PMC2911601,58457750,5,618,605,20255,600.0499877929688,792.0,size_largest
PMC5880259,38728466,5,470,421,14402,612.0,792.0,size_largest
PMC4118684,25760,4,193,177,12560,612.0,792.0,size_smallest
PMC4136383,25825,4,192,176,12664,612.0,792.0,size_smallest
PMC3574658,554635,3,803,498,14169,600.0,792.0,size_median
PMC5207327,5112169,79,6200,5853,261873,612.0,792.0,"pages_largest,character_total_largest"
PMC2668913,1119364,41,2393,2372,99842,432.0,648.0,pages_largest
PMC2631200,78417,2,147,140,7009,595.0,793.0,pages_smallest
PMC3152971,244345,2,204,192,8614,612.2830200195312,810.708984375,pages_smallest
PMC1087863,224122,7,830,793,37275,610.0,792.0,pages_median
PMC3967397,13043543,12,712693,2109,45967,600.0499877929688,792.0,object_total_largest
PMC3198682,7237414,8,190311,1088,21460,595.2760009765625,793.7009887695312,object_total_largest
PMC5697378,561886,2,121,121,5142,600.0499877929688,800.0,"object_total_smallest,text_box_total_smallest"
PMC5899867,626513,2,128,112,3980,600.0499877929688,800.0,"object_total_smallest,text_box_total_smallest,character_total_smallest"
PMC2871531,2540721,9,1160,1143,45116,600.0499877929688,792.0,object_total_median
PMC3182090,433343,11,73496,62523,77167,612.0,792.0,text_box_total_largest
PMC3520040,468921,8,45148,38565,52872,612.0,792.0,text_box_total_largest
PMC1459187,252508,7,1020,956,35576,610.0,792.0,text_box_total_median
PMC4243504,779616,27,4679,4578,202663,595.2760009765625,779.5280151367188,character_total_largest
PMC5756548,460116,2,887,168,4669,595.2760009765625,790.865966796875,character_total_smallest
PMC3485401,259556,7,2009,1198,30438,595.2760009765625,793.7009887695312,character_total_median
PMC4853105,1371459,5,578,550,17899,666.1419677734375,850.39404296875,modal_width_largest
PMC4853107,499095,3,457,430,12791,666.1419677734375,850.39404296875,modal_width_largest
PMC4531114,430406,32,1834,1768,83412,396.0,612.0,"modal_width_smallest,modal_height_smallest"
PMC4462200,188207,20,1721,1721,65433,430.823974609375,646.237060546875,"modal_width_smallest,modal_height_smallest"
PMC4756926,609598,3,264,159,6890,598.1099853515625,799.3699951171875,modal_width_median
PMC2984110,195930,8,1344,1227,46804,623.6220092773438,870.2360229492188,modal_height_largest
PMC2984116,357797,10,10113,2122,53435,623.6220092773438,870.2360229492188,modal_height_largest
PMC1064108,282090,11,2746,2343,54617,610.0,792.0,modal_height_median
